# Input file name  = bc03/models/Geneva1994/chabrier/bc2003_hr_m64_chab_ssp.ised
# Output file name = spectra/original/model_template_hr.csv
# Record         136         153         161         169         177         185
# Column           2           3           4           5           6           7
# SED(Lo/A)       at          at          at          at          at          at    
# Lambda(A)  1.01519E+09 3.00000E+09 5.00000E+09 7.00000E+09 9.00000E+09 1.10000E+10
3.653000E+03 1.02998E-04 3.04817E-05 1.65400E-05 1.19968E-05 9.07073E-06 7.16784E-06
3.654000E+03 1.04619E-04 3.08686E-05 1.67389E-05 1.21447E-05 9.20201E-06 7.29677E-06
3.655000E+03 1.05672E-04 3.11428E-05 1.69069E-05 1.22938E-05 9.32902E-06 7.40122E-06
3.656000E+03 1.07488E-04 3.17595E-05 1.72809E-05 1.25924E-05 9.57597E-06 7.61167E-06
3.657000E+03 1.09383E-04 3.28000E-05 1.79690E-05 1.31393E-05 1.00269E-05 7.99161E-06
3.658000E+03 1.10127E-04 3.33737E-05 1.83422E-05 1.34352E-05 1.02587E-05 8.17227E-06
3.659000E+03 1.09826E-04 3.36403E-05 1.85214E-05 1.35688E-05 1.03613E-05 8.25393E-06
3.660000E+03 1.08511E-04 3.35177E-05 1.84118E-05 1.34454E-05 1.02495E-05 8.16609E-06
3.661000E+03 1.06476E-04 3.28611E-05 1.79801E-05 1.31004E-05 9.97665E-06 7.95045E-06
3.662000E+03 1.04750E-04 3.15647E-05 1.71987E-05 1.25247E-05 9.52320E-06 7.58228E-06
3.663000E+03 1.03678E-04 3.08814E-05 1.67932E-05 1.22096E-05 9.27319E-06 7.38070E-06
3.664000E+03 1.03688E-04 3.06439E-05 1.66641E-05 1.21243E-05 9.19677E-06 7.29803E-06
3.665000E+03 1.04404E-04 3.10171E-05 1.68445E-05 1.22420E-05 9.28341E-06 7.36802E-06
3.666000E+03 1.04673E-04 3.11960E-05 1.69015E-05 1.22689E-05 9.29557E-06 7.37160E-06
3.667000E+03 1.03570E-04 3.07613E-05 1.65377E-05 1.19384E-05 9.01147E-06 7.13984E-06
3.668000E+03 1.01017E-04 2.97390E-05 1.59132E-05 1.14437E-05 8.62279E-06 6.83220E-06
3.669000E+03 9.88891E-05 2.86803E-05 1.54464E-05 1.11376E-05 8.38703E-06 6.61903E-06
3.670000E+03 9.97551E-05 2.91416E-05 1.57865E-05 1.14251E-05 8.63145E-06 6.82652E-06
3.671000E+03 1.02943E-04 3.04332E-05 1.66110E-05 1.21337E-05 9.22648E-06 7.31957E-06
3.672000E+03 1.05558E-04 3.16733E-05 1.72705E-05 1.25952E-05 9.57161E-06 7.59615E-06
3.673000E+03 1.06877E-04 3.21687E-05 1.74839E-05 1.27392E-05 9.68684E-06 7.70128E-06
3.674000E+03 1.06369E-04 3.19926E-05 1.73664E-05 1.26147E-05 9.57917E-06 7.61839E-06
3.675000E+03 1.04408E-04 3.13611E-05 1.69889E-05 1.23285E-05 9.35481E-06 7.43879E-06
3.676000E+03 1.00716E-04 3.01277E-05 1.62973E-05 1.17686E-05 8.88905E-06 7.04153E-06
3.677000E+03 9.71480E-05 2.86571E-05 1.53969E-05 1.10641E-05 8.31031E-06 6.55535E-06
3.678000E+03 9.38246E-05 2.73341E-05 1.45442E-05 1.03431E-05 7.69418E-06 6.02473E-06
3.679000E+03 9.28467E-05 2.65209E-05 1.40125E-05 9.92336E-06 7.34207E-06 5.71774E-06
3.680000E+03 9.41995E-05 2.66840E-05 1.40926E-05 9.97834E-06 7.37864E-06 5.74004E-06
3.681000E+03 9.66575E-05 2.77072E-05 1.48193E-05 1.05977E-05 7.88914E-06 6.14848E-06
3.682000E+03 9.88724E-05 2.87815E-05 1.55093E-05 1.11214E-05 8.30406E-06 6.48917E-06
3.683000E+03 9.97276E-05 2.92529E-05 1.58064E-05 1.13912E-05 8.55275E-06 6.72040E-06
3.684000E+03 9.77152E-05 2.86315E-05 1.53736E-05 1.10480E-05 8.27975E-06 6.50949E-06
3.685000E+03 9.38662E-05 2.72585E-05 1.45096E-05 1.03684E-05 7.73565E-06 6.06604E-06
