wavelengths 1 3 5 7 9 11
2999.591751987254 5.723474359081785e-05 9.866056263416015e-06 4.683547322118697e-06 2.7252487653293878e-06 1.685940188394702e-06 1.122247858572398e-06
3000.0917467644203 5.941815528428104e-05 1.0656396072409561e-05 5.025483788969136e-06 2.890897761762951e-06 1.7614200409324793e-06 1.1535580343918333e-06
3000.591824885526 5.710217063362417e-05 9.132139745466843e-06 4.054036033153769e-06 2.2447368241740424e-06 1.3265721063627334e-06 8.516734079084721e-07
3001.0919863505733 5.9023391246870256e-05 9.507788950533048e-06 4.178880007888039e-06 2.2823241772765474e-06 1.3242559975223111e-06 8.350478658170562e-07
3001.592231179558 6.763809601077856e-05 1.2226593654871358e-05 5.626352242687017e-06 3.1551065035410305e-06 1.8680106415992672e-06 1.1925800208680398e-06
3002.092559382479 5.991585728188797e-05 1.0562515640204664e-05 4.854238374689229e-06 2.736060484280601e-06 1.6366851812263893e-06 1.0603095547241536e-06
3002.5929709693346 4.7460432717349836e-05 7.649907862643304e-06 3.461368957737036e-06 1.9476854715919747e-06 1.1708186826666995e-06 7.678127365076059e-07
3003.0934659701193 5.265485264270495e-05 8.738384901136127e-06 3.9843335757052325e-06 2.2493901240233597e-06 1.3546833850677303e-06 8.882732951977575e-07
3003.5940443848335 5.577786176089897e-05 9.999210732560371e-06 4.767538527909905e-06 2.7845612732967152e-06 1.7332302022140982e-06 1.166550630326921e-06
3004.0947062334744 6.392025415631712e-05 1.3199777183710956e-05 6.866892831273991e-06 4.287343856158039e-06 2.8452341211788056e-06 2.015512499972998e-06
3004.595451516043 7.837088173532864e-05 1.8201143003587373e-05 1.0032505002701848e-05 6.529513899525576e-06 4.5016000625366486e-06 3.2866430640019227e-06
3005.09628027253 8.326054034268294e-05 1.9628012128802265e-05 1.0900288431711638e-05 7.135769527158998e-06 4.9469247306246535e-06 3.6282898688595078e-06
3005.5971924929404 8.182556503902368e-05 1.8187363336885132e-05 9.829065563252229e-06 6.318660337952031e-06 4.3130230530365915e-06 3.123966759743583e-06
3006.098188207266 7.589649873267639e-05 1.532073595189213e-05 7.976284608070617e-06 5.001641798937704e-06 3.3401652773284272e-06 2.3779240835882978e-06
3006.59926741551 6.72541177992996e-05 1.2331406633825371e-05 6.176586663611794e-06 3.762507865321051e-06 2.4411301830489993e-06 1.694196016781854e-06
3007.1004301376674 6.388855505425246e-05 1.1779821260119821e-05 5.737362247993863e-06 3.3892553495190152e-06 2.1221716907767544e-06 1.4239859399528193e-06
3007.601676393735 6.533946930211494e-05 1.171564042871093e-05 5.42236628435211e-06 3.0626218663054837e-06 1.8311598118828332e-06 1.1827436638498229e-06
3008.1030061937117 6.255030837839867e-05 1.0469483697763692e-05 4.69848264961803e-06 2.6032734864301838e-06 1.5326751206712693e-06 9.808285405994863e-07
3008.604419547596 6.192789906186989e-05 1.1034942660568508e-05 5.221634623868897e-06 3.0189134454309263e-06 1.8530315791467254e-06 1.2240622772520655e-06
3009.105916475384 6.170233365712245e-05 1.132801955399617e-05 5.4587915018925785e-06 3.2000680837062667e-06 1.9904266362392043e-06 1.3279685484982454e-06
3009.607496977078 6.764206155823251e-05 1.300542773583729e-05 6.404784703019021e-06 3.827484766487663e-06 2.432891149225218e-06 1.6568274530066502e-06
3010.1091610926674 8.05197154033642e-05 1.8073536034722395e-05 9.661117026140834e-06 6.141603045589292e-06 4.145472879417893e-06 2.9698772556082886e-06
3010.6109088121566 8.947562898810054e-05 2.204490880280973e-05 1.2344122450776289e-05 8.115800506966369e-06 5.652942912657418e-06 4.15932896575278e-06
3011.112740155543 8.258276639164114e-05 1.9371164045812624e-05 1.0641157500268284e-05 6.91027782016978e-06 4.762543549672958e-06 3.477779668707886e-06
3011.6146551428214 7.119831040357347e-05 1.4360813658374531e-05 7.244963686306794e-06 4.427934676955559e-06 2.888413684839745e-06 2.0202229449226666e-06
3012.1166537839918 7.040752186047751e-05 1.3577707944649637e-05 6.603485528370901e-06 3.921944213122864e-06 2.4889034940681143e-06 1.7027837157059297e-06
3012.618736089052 7.561670881545365e-05 1.572812477106001e-05 8.141504867474279e-06 5.0738765907335795e-06 3.3699506090746518e-06 2.392279105686728e-06
3013.1209020879965 7.646447384425647e-05 1.6320843983966393e-05 8.774794231241356e-06 5.635161986857395e-06 3.850682685203621e-06 2.7968957341200418e-06
3013.623151770828 7.707391355040062e-05 1.6537201578017402e-05 8.922649952479714e-06 5.743712231620991e-06 3.931598009673557e-06 2.85844133323558e-06
3014.1254851675412 7.912646292724806e-05 1.7433489275055798e-05 9.48072706574396e-06 6.134174312040437e-06 4.217224771273611e-06 3.077098550004568e-06
3014.627902288134 7.13033682100682e-05 1.527019830175975e-05 8.210020595151059e-06 5.2688781565628225e-06 3.5950595208431787e-06 2.606118640794804e-06
3015.1304031526033 6.676616495609915e-05 1.4271716620858497e-05 7.573437111731813e-06 4.7931777662978915e-06 3.2190249647817563e-06 2.2957302706336812e-06
3015.63298776095 7.075148893419958e-05 1.587195809322161e-05 8.55850322589116e-06 5.469480319179034e-06 3.7037098007306076e-06 2.657024214912373e-06
3016.1356561431685 7.218796389691876e-05 1.589768760754459e-05 8.490417703572682e-06 5.389038507632056e-06 3.6269600164884254e-06 2.5884399422803695e-06
3016.638408299259 7.358289222747307e-05 1.6318337713066393e-05 8.720627269309245e-06 5.5315690920336634e-06 3.717222033211115e-06 2.6448410982424393e-06
3017.1412442492187 6.207230949647093e-05 1.2539386070652222e-05 6.538709507116302e-06 4.084726591525861e-06 2.7070806327833203e-06 1.9050181703044033e-06
3017.6441640030457 5.380068825512903e-05 8.885388402968734e-06 4.276094773247864e-06 2.5304670684264465e-06 1.5964248520392424e-06 1.0821501175269496e-06
3018.147167580736 6.0433568124774346e-05 9.948650683688176e-06 4.661473443739701e-06 2.6923485920507997e-06 1.6563240100638927e-06 1.0972480498716892e-06
3018.6502550022865 5.9810579489765145e-05 9.586859505466538e-06 4.392758899301018e-06 2.4913196084354005e-06 1.5053055085930055e-06 9.832754323106944e-07
3019.1534262676983 5.711049471773364e-05 9.168762577675117e-06 4.0906267118458576e-06 2.245845193810467e-06 1.3028320560803303e-06 8.207328097657665e-07
3019.656681396968 6.263154225348531e-05 1.0301324556608524e-05 4.523083197580504e-06 2.4429832202823282e-06 1.3912569662004767e-06 8.612228014536114e-07
3020.1600204000933 5.468359990058609e-05 7.028457320764547e-06 2.8552680516535535e-06 1.4948486349138478e-06 8.427144752958658e-07 5.242492839232467e-07
3020.6634432970704 4.2821946178044215e-05 3.7476338535917027e-06 1.3999595730704398e-06 7.141556594059963e-07 3.994167794147056e-07 2.5107407197067285e-07
3021.166950107897 4.742391287496003e-05 5.149503431738757e-06 2.0817804797703127e-06 1.0966023557592204e-06 6.207899920519405e-07 3.8794760768953313e-07
3021.6705408325724 6.525243613651637e-05 1.131130840724628e-05 5.101971974226338e-06 2.8083650068379388e-06 1.6258651248782523e-06 1.0157547920722885e-06
3022.1742154810972 7.987206871245594e-05 1.678388133831546e-05 8.13596328026183e-06 4.695730718475478e-06 2.837035933048418e-06 1.825623793049138e-06
3022.6779740934608 8.402469949013612e-05 1.887159545162942e-05 9.72075117864796e-06 5.90834246995498e-06 3.769248441039121e-06 2.5381793955281666e-06
