wave,flux,uncertainty
3700.0,0.0017081083824450616,0.0
3700.8252063015752,0.0017847482831712114,0.0
3701.650412603151,0.001691823999863118,0.0
3702.475618904726,0.001431482087355107,0.0
3703.3008252063014,0.0,0.0
3704.126031507877,-0.002051320276223123,0.0
3704.9512378094523,-0.0037929711397737265,0.0
3705.7764441110276,-0.004218080488499254,0.0
3706.6016504126032,-0.00480091676581651,0.0
3707.4268567141785,-0.00448459800099954,0.0
3708.2520630157537,-0.003809488145634532,0.0
3709.0772693173294,-0.00363895166083239,0.0
3709.9024756189046,-0.0022770832292735577,0.0
3710.7276819204803,-0.0002470140461809933,0.0
3711.5528882220556,0.0010953305754810572,0.0
3712.378094523631,0.0027823109412565827,0.0
3713.2033008252065,0.0040997505420818925,0.0
3714.0285071267817,0.00477882387349382,0.0
3714.853713428357,0.005209123250097036,0.0
3715.6789197299327,0.0047505428665317595,0.0
3716.504126031508,0.003000621101818979,0.0
3717.329332333083,0.0009872328955680132,0.0
3718.154538634659,-0.000789426383562386,0.0
3718.979744936234,-0.0026919454685412347,0.0
3719.8049512378093,-0.0038535541389137506,0.0
3720.630157539385,-0.004735256312415004,0.0
3721.45536384096,-0.004461666801944375,0.0
3722.2805701425355,-0.003171589778503403,0.0
3723.105776444111,-0.0018153043347410858,0.0
3723.9309827456864,-0.00040107875247485936,0.0
3724.7561890472616,0.0007384243610886188,0.0
3725.5813953488373,0.0013559038343373686,0.0
3726.4066016504125,0.0015145685174502432,0.0
3727.2318079519882,0.0020811048743780702,0.0
3728.0570142535635,0.0019229468889534473,0.0
3728.8822205551387,0.0014176479598972946,0.0
3729.7074268567144,0.0008114961674436927,0.0
3730.5326331582896,1.3188720913603902e-05,0.0
3731.357839459865,-0.001373299746774137,0.0
3732.1830457614406,-0.002566180221037939,0.0
3733.008252063016,-0.004725525097455829,0.0
3733.833458364591,-0.006452113940781601,0.0
3734.6586646661667,-0.007148787607775375,0.0
3735.483870967742,-0.0073290711691242905,0.0
3736.309077269317,-0.006487955102102205,0.0
3737.134283570893,-0.004639283382857684,0.0
3737.959489872468,-0.0026319154421798885,0.0
3738.7846961740433,-0.0011743418290279806,0.0
3739.609902475619,-0.00014602491864934564,0.0
3740.4351087771943,0.001110812183469534,0.0
3741.2603150787695,0.00112913956400007,0.0
3742.085521380345,0.0002410486340522766,0.0
3742.9107276819204,-0.0009399879709235393,0.0
3743.7359339834957,-0.0020633391686715186,0.0
3744.5611402850714,-0.00300981174223125,0.0
3745.3863465866466,-0.0043231811141595244,0.0
3746.2115528882223,-0.005559020442888141,0.0
3747.0367591897975,-0.006633478566072881,0.0
3747.8619654913728,-0.006624025292694569,0.0
3748.6871717929484,-0.006501114461570978,0.0
3749.5123780945237,-0.005676478613168001,0.0
3750.337584396099,-0.0033501654397696257,0.0
3751.1627906976746,-0.0009596917079761624,0.0
3751.98799699925,0.0011671844404190779,0.0
3752.813203300825,0.0033761223312467337,0.0
3753.6384096024008,0.004366230685263872,0.0
3754.463615903976,0.004101920407265425,0.0
3755.2888222055512,0.0036464878357946873,0.0
3756.114028507127,0.0027299777138978243,0.0
3756.939234808702,0.000984987709671259,0.0
3757.7644411102774,-0.0010166573338210583,0.0
3758.589647411853,-0.002538908738642931,0.0
3759.4148537134283,-0.002732474938966334,0.0
3760.2400600150036,-0.0023108809255063534,0.0
3761.0652663165793,-0.001372485887259245,0.0
3761.8904726181545,-0.0008843871764838696,0.0
3762.7156789197297,-0.0005595097318291664,0.0
3763.5408852213054,0.0,0.0
3764.3660915228807,0.0002403799444437027,0.0
3765.1912978244563,0.00040665827691555023,0.0
