O star,343.5795133747879,1.3157170755797674
OB transition star,358.9747202823738,1.2962275106068668
B star,607.3617929767311,1.6682335457525308
A star0,655.3063690648028,2.157752749939889
A star1,565.4713671663915,1.8892950326619677
FA transition star,586.5322165181271,1.6407945085482176
F star0,350.76773784335796,1.2684548417940322
F star1,300.4852740951101,1.185018584594791
G star0,281.36969593122353,1.1177893989545866
G star1,172.0446973378065,0.9085020605605775
K star,159.34114014306328,0.9265036479989467
M1 star,208.8656132862265,0.9026540206116672
M3 star0,382.24804198850074,1.3321553700563555
M5 star1,297.6180800063372,1.123114826482017
M8 star,505.2514333591365,1.6748532837468322
L1 star,132.3631849049528,0.6635935761527142
Magnetic white dwarf,525.4983499885046,1.6491670379539176
Carbon star0,349.25542778046776,1.5033889638113862
Carbon star1,181.15637875641673,0.8013274200358373
Carbon star2,171.67358574261942,0.8807139384198462
White dwarf,1567.2841023613937,3.383276560573252
B white dwarf,744.7817034715373,1.869513835483681
Low-metallicity K subdwarf,265.4391326752294,0.975177789400081
Early-type galaxy,296.9034178698027,1.195330964425444
Galaxy0,186.97444683698825,0.9264164212169936
Galaxy1,149.06528636377826,0.8759585475788755
Galaxy2,140.58020903768144,0.86999412978111
Late-type galaxy,137.73690939582207,0.8667969248132312
Luminous Red Galaxy,471.30292747422214,2.001218485789476
QSO,1981.5628402901555,2.9675210902244253
QSO with some BAL activity0,1281.0854142447567,2.4300404784367644
QSO with some BAL activity1,1516.8183454056634,2.566861564259772
High-luminosity QSO,2404.5691290424215,2.457676363681506
