O star,376.75100475520946,1.3650078273807709
OB transition star,388.504456472086,1.3702445058561552
B star,567.0228437168895,1.58264775759817
A star0,673.5491058651055,1.883467922818373
A star1,588.5174113460631,1.7796006215617242
FA transition star,784.5071132888921,1.8649704170968018
F star0,349.3267193743801,1.17009098379797
F star1,186.8400939767782,0.9509680756287939
G star0,159.7509947427309,0.8295804484748716
G star1,143.76194952615012,0.9037788133031
K star,150.41030124888414,0.9486605216850066
M1 star,221.9737077704676,0.9278836139892837
M3 star0,396.5363882119409,1.3636983315434072
M5 star1,298.0327818715311,1.1398612883076
M8 star,511.6811051407128,1.846279320756456
L1 star,138.268257330855,0.7000847764100009
Magnetic white dwarf,451.6555556382814,1.5426028678666543
Carbon star0,400.8342510430631,1.72592735569007
Carbon star1,215.06507517851753,0.912759073579726
Carbon star2,173.22805427762037,0.9013885246934628
White dwarf,1935.8979030469343,3.8412520441747784
B white dwarf,649.8553942621627,1.8179654968551915
Low-metallicity K subdwarf,299.2361010242335,1.0926558836379356
Early-type galaxy,276.24843346382477,1.211493159040317
Galaxy0,168.88617190547004,0.9574393338756678
Galaxy1,142.06813243326377,0.9017197877824263
Galaxy2,136.14783495527374,0.8855346192326329
Late-type galaxy,134.46175226058728,0.8783227158333686
Luminous Red Galaxy,457.7565261827268,2.0448660610648015
QSO,1981.5628402901555,2.9675210902244253
QSO with some BAL activity0,1281.0854142447567,2.4300404784367644
QSO with some BAL activity1,1516.8183454056634,2.566861564259772
High-luminosity QSO,2404.5691290424215,2.457676363681506
