wave,flux,uncertainty
3800.3979153018863,0.5172677040100098,5.172676901565865e-05
3801.273096019802,0.5281106245462707,5.2811059427834927e-05
3802.14847828011,0.54175126976232,5.417512383303173e-05
3803.024062129223,0.5519612715753508,5.519612399678071e-05
3803.8998476135644,0.5632771069977238,5.632770960543636e-05
3804.7758347795684,0.5770492596944103,5.770492362957153e-05
3805.652023673679,0.586091367094965,5.860913505624354e-05
3806.5284143423523,0.5884849014838167,5.884848906006166e-05
3807.405006832053,0.5871464023747088,5.87146371990632e-05
3808.281801189259,0.5846089549664066,5.846089403544699e-05
3809.158797460457,0.578589791670991,5.7858977764216964e-05
3810.0359956921457,0.5739446693325244,5.7394466386145354e-05
3810.913395930833,0.5685353039604948,5.6853528277629445e-05
3811.790998223039,0.5572572626088185,5.5725724089302195e-05
3812.6688026152938,0.5441360377892762,5.441360398245558e-05
3813.5468091541384,0.5309016629719615,5.3090165092903386e-05
3814.425017886124,0.5164549098022225,5.164548795372455e-05
3815.3034288578137,0.5016946550273209,5.016946275471519e-05
3816.1820421157804,0.49103785904783004,4.9103785723975074e-05
3817.0608577066073,0.4785679541217636,4.785679487091559e-05
3817.9398756768896,0.4633238625047294,4.6332386296914374e-05
3818.8190960732327,0.4528262774030595,4.5282626995912456e-05
3819.698518942252,0.4435270606883023,4.435270396149631e-05
3820.5781443305746,0.43435759867166485,4.34357596455395e-05
3821.457972284838,0.4287271584614711,4.28727154968001e-05
3822.3380028516904,0.4243003480033583,4.243003526020133e-05
3823.2182360777906,0.4206512182355504,4.206512088719855e-05
3824.0986720098085,0.4123659697527544,4.123659517648728e-05
3824.9793106944244,0.40242037978304224,4.024203679690445e-05
3825.8601521783294,0.391361956043349,3.913619346209148e-05
3826.741196508226,0.3803763826572492,3.803763787512413e-05
3827.6224437308265,0.37156716317483884,3.715671533466949e-05
3828.503893892854,0.3643709556393883,3.6437093340359615e-05
3829.3855470410435,0.35784361588656566,3.578436099933472e-05
3830.26740322214,0.3516327762115758,3.5163278442517004e-05
3831.1494624828983,0.34460487940962614,3.446048616665666e-05
3832.031724870086,0.33970248709270773,3.3970247445102496e-05
3832.9141904304797,0.33842148861119,3.3842149227063885e-05
3833.7968592108678,0.3376782678122315,3.3767827561499956e-05
3834.679731258049,0.33865992710215687,3.386599289062521e-05
3835.562806618833,0.34352916217879925,3.43529165736453e-05
3836.4460853400396,0.3481979017635786,3.481978844874665e-05
3837.3295674685014,0.35321218427043866,3.532121697025863e-05
3838.213253051059,0.3618437424723745,3.618437463209836e-05
3839.0971421345657,0.37086273760178295,3.708627125262165e-05
3839.981234765885,0.382548948973285,3.825489344656011e-05
3840.8655309918913,0.3979260361672259,3.9792602697788955e-05
3841.75003085947,0.41786858288612927,4.1786856315026547e-05
3842.634734415516,0.43505475500720514,4.35054754875074e-05
3843.5196417069374,0.4471335612931698,4.471335649697385e-05
3844.4047527806506,0.4596878775748289,4.5968786193402715e-05
3845.2900676835843,0.46822410363948874,4.682240770955732e-05
3846.175586462678,0.47353826516193376,4.7353824362790465e-05
3847.061309164881,0.4819814886164637,4.819814589288025e-05
3847.947235837155,0.4877172695272935,4.877172525225219e-05
3848.8333665264704,0.4897564481155384,4.8975642728743245e-05
3849.7197012798106,0.48837821286806005,4.8837818254642666e-05
3850.606240144168,0.48481787908760876,4.8481784893380175e-05
3851.492983166547,0.48246359501100217,4.8246356991252076e-05
3852.379930393963,0.4801566883211375,4.801566749883538e-05
3853.267081873441,0.47974095184434395,4.7974093188798846e-05
3854.1544376520174,0.47672575949595336,4.7672574091116585e-05
3855.04199777674,0.4680952829951425,4.680952846734402e-05
3855.929762294667,0.4615956741286923,4.615956717471556e-05
3856.817731252867,0.4552965448019191,4.552965372546626e-05
3857.70590469842,0.4500706861542336,4.50070658155051e-05
3858.5942826784167,0.4482307478960296,4.482307411263243e-05
3859.4828652399588,0.44808052757597333,4.480805192004964e-05
3860.371652430159,0.45196666840470073,4.519666604265171e-05
3861.2606442961396,0.46189226712829484,4.618922639174027e-05
3862.1498408850352,0.47653490110043306,4.765349043626951e-05
3863.0392422439913,0.4934298553845206,4.934298464981307e-05
3863.928848420163,0.5010829207471226,5.010829038586563e-05
3864.818659460717,0.5010931898659867,5.010931874111361e-05
3865.708675412831,0.49790627452878655,4.979062650628221e-05
3866.5988963236928,0.49357531657199083,4.9357529282532883e-05
3867.489322240503,0.4928203550267395,4.928203375642095e-05
3868.3799532104704,0.49060557799712096,4.906055559866204e-05
3869.2707892808166,0.4867776834023835,4.8677767710492415e-05
3870.1618304987737,0.48255444811151227,4.8255443897462914e-05
3871.053076911584,0.4761951412098398,4.7619514060925825e-05
3871.944528566501,0.47479366230273107,4.747936675561004e-05
3872.8361855107896,0.4802220892481017,4.802220781911554e-05
3873.728047791725,0.48654804583560274,4.865480482669595e-05
3874.620115456594,0.49306783629403267,4.9306782905350574e-05
3875.5123885526928,0.49276725110715525,4.927672264709084e-05
3876.4048671273304,0.4929893201594512,4.929893189333115e-05
3877.297551227825,0.4888264272859842,4.888264088369983e-05
3878.1904409015065,0.4836991116437028,4.836991091969811e-05
3879.0835361957165,0.48011901522982603,4.8011899463883513e-05
3879.9768371578057,0.4732055868415666,4.732055729830392e-05
3880.870343835137,0.47236090543833,4.723608857076536e-05
3881.764056275084,0.47916656412607994,4.791665509083534e-05
3882.657974525031,0.4860564580338581,4.860564386078321e-05
3883.552098632373,0.4891467747671616,4.8914675437085995e-05
3884.446428644517,0.4879140756527077,4.879140772045962e-05
3885.340964608879,0.4894165685664009,4.894165652124547e-05
3886.235706572888,0.4930509931339369,4.9305098426764775e-05
3887.130654583982,0.5018109393308116,5.018109426112553e-05
3888.025808689612,0.5166830549920083,5.166830249381657e-05
3888.921168937238,0.5311015229367554,5.311014921920379e-05
3889.816735374332,0.5431266208455713,5.4312659695355964e-05
3890.7125080483765,0.5550647011969191,5.55064695253641e-05
3891.6084870068657,0.5714195546787004,5.714195430262429e-05
3892.5046722973034,0.5862026787419133,5.862026809621372e-05
3893.4010639672056,0.5982177476260677,5.9821772883954504e-05
3894.2976620640984,0.6070285823862119,6.0702856727671704e-05
3895.1944666355193,0.6143126500028304,6.14312616092238e-05
3896.0914777290163,0.6168863875192278,6.168864020236795e-05
3896.9886953921496,0.616017816545214,6.16017809292441e-05
3897.8861196724883,0.619798188368948,6.197981447509807e-05
3898.7837506176143,0.6228433706790727,6.228433325458163e-05
3899.6815882751193,0.6238087860610003,6.238087837288903e-05
3900.579632692607,0.6264402865369909,6.264402487818461e-05
3901.4778839176906,0.6259276954995081,6.259276551165747e-05
3902.376341997996,0.6226758830699645,6.226759018261631e-05
3903.275006981158,0.617525714909271,6.175256731746609e-05
3904.173878914825,0.6146258084888879,6.14625788210249e-05
3905.072957846654,0.6173646464198478,6.173646149574848e-05
3905.9722438243143,0.6253363295233816,6.253363376503803e-05
3906.8717368954854,0.6390980121628241,6.390979824695808e-05
3907.771437107858,0.6549701088664875,6.549700596649508e-05
3908.671344509135,0.6666720241086718,6.666720279369302e-05
3909.5714591470287,0.6752834566801995,6.752834268888761e-05
3910.4717810692623,0.6855163676784236,6.855163816722684e-05
3911.372310323571,0.6958280319423829,6.958280488950979e-05
3912.273046957701,0.7053312405329197,7.053312204071434e-05
3913.1739910194083,0.7091303921787788,7.091303862550368e-05
3914.0751425564617,0.7046910792561588,7.046910553456097e-05
3914.9765016166393,0.6941287776595143,6.941287950274661e-05
3915.878068247731,0.6817870626597266,6.817870166574226e-05
3916.779842497537,0.6692938226123797,6.692937841385286e-05
3917.681824413871,0.6573131790409588,6.573131616374365e-05
3918.5840140445534,0.6406404447160655,6.40640445563792e-05
3919.48641143742,0.6220261072764804,6.220260733184863e-05
3920.3890166403144,0.6049101044316347,6.049100842563718e-05
3921.2918297010933,0.5905096882446534,5.9050966996894354e-05
3922.1948506676226,0.5756780558932538,5.7567804058200236e-05
3923.0980795877813,0.5577459828169075,5.577459664565561e-05
3924.001516509458,0.5374985689637144,5.374985525755134e-05
3924.905161480552,0.514699449000929,5.14699420749575e-05
3925.809014548975,0.4883434298757672,4.8834342929891685e-05
3926.7130757626487,0.46177467765187286,4.6177467398949956e-05
3927.6173451695067,0.43066035763944266,4.306603307903518e-05
3928.521822817492,0.39245906022523214,3.92459060024484e-05
3929.426508754561,0.35693716312069584,3.5693714565393196e-05
3930.3314030286792,0.32680501999051204,3.2680499523835204e-05
3931.236505687824,0.3008087433026847,3.008087315340023e-05
3932.1418167799834,0.27985734260836337,2.798573419100181e-05
3933.0473363531573,0.2695970397721169,2.6959703123186113e-05
3933.953064455355,0.27199398278491077,2.7199397346943368e-05
3934.8590011345996,0.28579607251380407,2.857960593853761e-05
3935.7651464389223,0.3079320399312229,3.0793201780301975e-05
3936.671500416367,0.3355191870397053,3.3551917753540865e-05
3937.5780631149883,0.36333704740308725,3.63337032869465e-05
3938.4848345828523,0.39007402395313706,3.900740106536032e-05
3939.391814868035,0.4151577754360021,4.15157778077482e-05
3940.2990040186246,0.4405644819015297,4.405644822041788e-05
3941.20640208272,0.46592787270501923,4.659278451030227e-05
3942.1140091084317,0.49113882504684053,4.91138827971316e-05
3943.02182514388,0.5172459774187066,5.172459679778811e-05
3943.9298502371976,0.539363029865471,5.3936301848305126e-05
3944.838084436527,0.5602219450369357,5.602219408852358e-05
3945.7465277900233,0.5808287942235346,5.808287656540716e-05
3946.6551803458515,0.6015607984601916,6.015607887604433e-05
3947.564042152188,0.6219209961718816,6.219209883440702e-05
3948.4731132572206,0.6415776231812088,6.415776251012457e-05
3949.3823937091483,0.6568611752610444,6.56861139660329e-05
3950.29188355618,0.6664157182747376,6.664157090217357e-05
3951.2015828465373,0.6765327458958148,6.765327373774177e-05
3952.1114916284523,0.6851626756254574,6.851626722236089e-05
3953.0216099501677,0.6850369087762486,6.85036857678408e-05
3953.9319378599375,0.6826170254216892,6.826170063360844e-05
3954.8424754060275,0.6752877627341741,6.75287709398096e-05
3955.753222636714,0.6621241615366884,6.621241605194688e-05
3956.6641796002846,0.6491119525723928,6.491119314737216e-05
3957.575346345038,0.6339594167830154,6.339593803774442e-05
3958.4867229192832,0.61188699398926,6.118869549229589e-05
3959.3983093713423,0.5807384565579358,5.807384552702276e-05
3960.310105749547,0.5472339665197287,5.472339587789061e-05
3961.22211210224,0.5111635700662929,5.1116355032386834e-05
