wave,flux,uncertainty
3800.6644988544267,0.0060557001270346396,6.05569994149772e-07
3801.539738424077,0.006387893903491129,6.387893510583737e-07
3802.4151795490875,0.006667689999455473,6.667689932146951e-07
3803.2908222758747,0.006871691424347345,6.871691327939635e-07
3804.166666650864,0.0069424984915273935,6.942498505168864e-07
3805.042712720492,0.006925404659619727,6.925404481390337e-07
3805.9189605312067,0.00686400772461648,6.864007328075333e-07
3806.795410129466,0.006824000456418404,6.824000219027925e-07
3807.6720615617387,0.006861588147806495,6.861587840412654e-07
3808.548914874504,0.006957180476329197,6.957180202537808e-07
3809.4259701142523,0.007045190542215975,7.045190497621805e-07
3810.303227327485,0.007030816887021868,7.030816808843735e-07
3811.180686560713,0.00689724464957062,6.897244433102317e-07
3812.0583478604594,0.006654580948898919,6.654580803424288e-07
3812.936211273257,0.006310194634951712,6.310194253830374e-07
3813.8142768456496,0.006017477536105248,6.017477567002097e-07
3814.6925446241917,0.0057929593786665325,5.792959132223451e-07
3815.571014655448,0.005661823661371792,5.661823683111298e-07
3816.4496869859954,0.0056296101097474795,5.629610052584712e-07
3817.32856166242,0.005580324166160749,5.580323837760369e-07
3818.2076387313195,0.005495748129337106,5.495748254784061e-07
3819.0869182393017,0.005345068359844733,5.345068155398009e-07
3819.9664002329855,0.005206343090564344,5.206342678549304e-07
3820.846084759001,0.005147817099458409,5.147816947350972e-07
3821.725971863988,0.005111817225206451,5.1118173763121e-07
3822.6060615945976,0.005061638928369604,5.061638531897707e-07
3823.486353997492,0.004942583180950236,4.942583175316138e-07
3824.366849119344,0.004762497108377968,4.762497063450444e-07
3825.2475470068357,0.0045988848389737465,4.5988847357175205e-07
3826.128447706663,0.004471750351461893,4.4717502733222705e-07
3827.009551265529,0.004421121307415868,4.421121075438252e-07
3827.89085773015,0.004390010100356425,4.39001010172457e-07
3828.7723671472527,0.004382209870559075,4.38220964458168e-07
3829.6540795635738,0.004338550552514502,4.338550510627533e-07
3830.5359950258608,0.004231788118989486,4.2317879857320397e-07
3831.418113580873,0.004096391749089492,4.0963917772586736e-07
3832.3004352753796,0.003980669714015189,3.980669576810585e-07
3833.182960156161,0.003891967920940277,3.891967752160996e-07
3834.0656882700077,0.0038085381035847334,3.8085380598595706e-07
3834.9486196637213,0.003812756538478133,3.812756498970376e-07
3835.831754384115,0.0038978243747263613,3.897824267404371e-07
3836.7150924780112,0.003977651829688921,3.9776517823629776e-07
3837.5986339922442,0.004030145567092864,4.030145482586278e-07
3838.4823789736597,0.004122901352712036,4.122901216237472e-07
3839.366327469112,0.004271127797632396,4.271127796176172e-07
3840.2504795254686,0.004525825830897192,4.525825808736599e-07
3841.1348351896063,0.004868561944168638,4.868561743314862e-07
3842.019394508413,0.005235777812697797,5.23577756885615e-07
3842.904157528788,0.0055405454939991905,5.540545426560403e-07
3843.78912429764,0.005773503941074047,5.773503839452838e-07
3844.67429486189,0.005944461239371293,5.944460855659822e-07
3845.5596692684694,0.006052721438324846,6.052721239708687e-07
3846.4452475643197,0.0061049678364243545,6.104967921777465e-07
3847.331029796394,0.006115914042657156,6.115914120021852e-07
3848.217016011656,0.006082547854780726,6.082547897574048e-07
3849.1032062570803,0.006038941682769346,6.038941553137879e-07
3849.989600579652,0.006017895770081444,6.017895334241153e-07
3850.8761990263665,0.006046647933419502,6.046648030309992e-07
3851.7630016442317,0.006084187162558171,6.084187262684389e-07
3852.650008480265,0.006062350903467438,6.062350990015175e-07
3853.5372195814953,0.006000404717411293,6.000404556682314e-07
3854.4246349949617,0.005888152387132175,5.888152175127603e-07
3855.3122547677144,0.005757167834369993,5.757167715188272e-07
3856.2000789468143,0.0056125900111478385,5.612589834821897e-07
3857.0881075793336,0.0054604804368239375,5.460480223019548e-07
3857.976340712355,0.005339822023875928,5.339821895629469e-07
3858.864778392972,0.0052788281655434255,5.278827921115879e-07
3859.753420668289,0.005320735634414215,5.320735359416877e-07
3860.6422675854215,0.005529328961285182,5.529329047461908e-07
3861.531319191495,0.005831387375708095,5.831387407539286e-07
3862.420575533648,0.006108057215972973,6.108057313480928e-07
3863.3100366590265,0.00631478377217578,6.314783605791361e-07
3864.19970261479,0.006419701996996366,6.419702004246018e-07
3865.0895734481087,0.006465967972563401,6.46596781523121e-07
3865.979649206162,0.006452586675469489,6.452586760607578e-07
3866.8699299361415,0.006335261036278339,6.335261075034084e-07
3867.7604156852494,0.006123631035049842,6.123630699441603e-07
3868.651106500699,0.0059346137974437985,5.934613843243892e-07
3869.5420024297136,0.005845176777016621,5.845176814956603e-07
3870.4331035195282,0.0058058706965212065,5.805870280996748e-07
3871.324409817389,0.005750681749357973,5.750681677803457e-07
3872.2159213705518,0.0057418014040995025,5.741801398143364e-07
