wave,flux,uncertainty
3500.1186466130125,0.00923870038241148,9.238700044988946e-07
3500.9246715084387,0.009384600445628166,9.384600048178982e-07
3501.7308820193243,0.009395900182425976,9.395899951414322e-07
3502.537278188415,0.0092460997402668,9.246099352822057e-07
3503.3438600584636,0.009493100456893444,9.493100492363737e-07
3504.150627672235,0.009433399885892868,9.433399554836797e-07
3504.957581072503,0.009365499950945377,9.365499522573373e-07
3505.764720302052,0.009367099963128567,9.367099664814305e-07
3506.5720454036755,0.009133500047028065,9.133499929703248e-07
3507.3795564201764,0.009126899763941765,9.126899271905131e-07
3508.1872533943683,0.009297199547290802,9.297199312641169e-07
3508.995136369075,0.009372199885547161,9.372199656354496e-07
3509.8032053871298,0.00935710035264492,9.3571003390025e-07
3510.6114604913746,0.009116699919104576,9.116699857258936e-07
3511.419901724663,0.008983300067484379,8.983299721876392e-07
3512.2285291298576,0.009096600115299225,9.096600024349755e-07
3513.0373427498316,0.009174499660730362,9.174499382424983e-07
3513.846342627467,0.009002099744975567,9.002099545796227e-07
3514.655528805655,0.008844500407576561,8.84450003013626e-07
3515.4649013272997,0.009088600054383278,9.088599881579285e-07
3516.2744602353127,0.009407100267708302,9.407099810232467e-07
3517.0842055726152,0.009549199603497982,9.549199830871657e-07
3517.8941373821394,0.009530100040137768,9.530099873700237e-07
3518.7042557068276,0.009689000435173512,9.689000535217929e-07
3519.514560589631,0.009723200462758541,9.723199809741345e-07
3520.325052073511,0.009445199742913246,9.445199680158112e-07
3521.1357302014394,0.009371199645102024,9.371199212182546e-07
3521.9465950163967,0.009376400150358677,9.376399816574121e-07
3522.757646561376,0.009341400116682053,9.341399618278956e-07
3523.5688848793766,0.009125100448727608,9.125100177698187e-07
3524.38031001341,0.00901820044964552,9.018200444188551e-07
3525.1919220064974,0.00894320011138916,8.943200100475224e-07
3526.0037209016696,0.00901770032942295,9.017700222102576e-07
3526.815706741968,0.009126599878072739,9.126599707087735e-07
3527.6278795704416,0.009056500159204006,9.056499834514398e-07
3528.440239430152,0.00944720022380352,9.447200000067824e-07
3529.25278636417,0.009837299585342407,9.83729933068389e-07
